coroner_name,count
Ms Alison Patricia Mutch OBE,204
Ms Mary Hassell,159
Mr Professor John S Pollard,87
Ms Nadia Persaud,82
Mr Tom Osborne,81
Mrs Jacqueline F Lake,74
Mr Andrew Cox,69
Mrs Louise Hunt,68
Mr Andrew Harris,67
Miss Veronica HAMILTON-DEELEY,63
Mr John Gittins,62
Mr graeme Irvine,56
Mr Chris Morris,56
Mrs lydia brown,54
Mr Kevin McLoughlin,54
Mr Zafar Siddique,54
Mr Andrew Walker,52
Mr Andrew Adrian Haigh,50
Ms Joanne Kearsley,49
Dr Fiona Jane Wilcox,47
Mr Martin Dominic Fleming,47
Mrs Heidi Julia Connor,45
Mrs Maria Eileen Voisin,44
Miss Emma Brown,43
Ms Lisa Jeanette Hashmi,42
Mr Andrew Roger Barkley,41
Mr Derek Winter DL,39
Ms Penelope Schofield,39
Mrs Caroline Beasley-Murray OBE,39
Mr André Rebello OBE,39
Mrs Rachael Clare Griffin,37
Ms Caroline Saunders,37
Dr Richard Ian Brittain,36
Mr Alan Wilson,36
Miss Anna Crawford,36
Mr Alan Peter Walsh,35
Mr David William Graham RIDLEY,34
Ms Sonia Marie Hayes,32
Mr Andrew Tweddle,31
Dr Karen Henderson,31
Mr Nicholas Leslie Rheinberg,31
Mr Nigel Parsley,29
Mr S. McGovern,29
Mr Nigel Meadows,29
Mr David Donald William REID,28
Margaret Jones,28
Dr Séan Cummings,27
Mrs Emma Elizabeth Whitting,27
Mr Geraint Williams,26
Mr Ian Arrow,26
Ms Nicola Jane Mundy,26
Ms Jacqueline P Devonish,26
David Hinchcliff,25
Guy Davies,25
Ms Katy Skerrett,24
Ms Patricia Harding,24
Dr Elizabeth Didcock,24
Mr David Clark Horsley,23
Mr Paul Stanford Cooper,23
Mr Philip Barlow,23
Miss Caroline Topping,23
Ms Catherine McKenna,23
Miss Emma Serrano,22
Mr Crispin Oliver,22
Mrs Karen Dilks,22
Mr Ian Geoffrey Pears,22
Mr Andrew Michael Bridgman,21
Mr DAVID LLEWELYN ROBERTS,21
Mr James Bennett,21
Mr John Penhale Ellery,20
Mr Richard Travers,20
Jennifer Leaming,20
Mrs Caroline Sarah Sumeray,20
Mrs Joanne Lees,19
Miss Laurinda Bower,19
Mr Graeme David Hughes,19
Mr Darren Michael Salter,19
Dr Peter Harrowing,18
Ms Selena R Lynch,18
Ms Abigail Combes,18
Dr E. Emma Carlyon,17
Mr J Mark Layton,17
Ms Sarah Bourke,17
Dr Elizabeth A Earland,17
Mr Brendan Joseph Allen,17
Mr Crispin Giles Butler,16
Dr Sarah-Jane Richards,16
Ms Rachel Galloway,16
Mrs Samantha Marsh,16
Mrs Helen Rachel Redman,16
Mr Peter J Bedford,16
Mrs Catherine Mason,16
Ms Yvonne Kathleen Blake,16
