Status,Date added,Date of report,Ref,Deceased name,Coroner name,Coroner area,Category,Sent to,Sent to count,Replies count,Report URL
"<div style=""background-color: #1aa616; color: #fff;display: inline; padding: 0.2em 0.6em 0.3em;font-size:75%;font-weight: 700;line-height: 1;text-align: center;white-space: nowrap;vertical-align: baseline;border-radius: 0.25em;font-family: muli,helvetica,Arial,sans-serif;margin: auto;"">completed</div>",13/02/2025,17/12/2025,2025-0080,Anthony Binfield,Miss Laurinda Bower,Nottinghamshire,State Custody related deaths | Suicide (from 2015),HM Prison Lowdham Grange,1,1,https://www.judiciary.uk/prevention-of-future-death-reports/anthony-binfield-prevention-of-future-deaths-report-2/
"<div style=""background-color: #1e1ef6; color: #fff;display: inline; padding: 0.2em 0.6em 0.3em;font-size:75%;font-weight: 700;line-height: 1;text-align: center;white-space: nowrap;vertical-align: baseline;border-radius: 0.25em;font-family: muli,helvetica,Arial,sans-serif;margin: auto;"">pending</div>",05/09/2025,04/09/2025,2025-0449,Cheryl Edwards,Mr Geoffrey Sullivan,Hertfordshire,Road (Highways Safety) related deaths,Chief Executive Hertfordshire County Council,1,0,https://www.judiciary.uk/prevention-of-future-death-reports/cheryl-edwards-prevention-of-future-deaths-report/
"<div style=""background-color: #1e1ef6; color: #fff;display: inline; padding: 0.2em 0.6em 0.3em;font-size:75%;font-weight: 700;line-height: 1;text-align: center;white-space: nowrap;vertical-align: baseline;border-radius: 0.25em;font-family: muli,helvetica,Arial,sans-serif;margin: auto;"">pending</div>",05/09/2025,03/09/2025,2025-0448,Margaret Bailey,Mr Andrew Michael Bridgman,Greater Manchester South,Community health care and emergency services related deaths,Department of Health and Social Care | Department of Health and Social Care | Care Quality Commission,3,0,https://www.judiciary.uk/prevention-of-future-death-reports/margaret-bailey-prevention-of-future-deaths-report/
"<div style=""background-color: #1e1ef6; color: #fff;display: inline; padding: 0.2em 0.6em 0.3em;font-size:75%;font-weight: 700;line-height: 1;text-align: center;white-space: nowrap;vertical-align: baseline;border-radius: 0.25em;font-family: muli,helvetica,Arial,sans-serif;margin: auto;"">pending</div>",05/09/2025,03/09/2025,2025-0447,Marcia Grant,Mrs Marilyn Whittle,Yorkshire South West,Other related deaths,Rotherham Metropolitan Borough Council | Department for Education | Department for Education,3,0,https://www.judiciary.uk/prevention-of-future-death-reports/marcia-grant-prevention-of-future-deaths-report/
"<div style=""background-color: #1e1ef6; color: #fff;display: inline; padding: 0.2em 0.6em 0.3em;font-size:75%;font-weight: 700;line-height: 1;text-align: center;white-space: nowrap;vertical-align: baseline;border-radius: 0.25em;font-family: muli,helvetica,Arial,sans-serif;margin: auto;"">pending</div>",05/09/2025,29/08/2025,2025-0443,Audrey Newman,Mr Andrew Michael Bridgman,Greater Manchester South,Hospital Death (Clinical Procedures and medical management) related deaths,Stockport NHS Foundation Trust,1,0,https://www.judiciary.uk/prevention-of-future-death-reports/audrey-newman-prevention-of-future-deaths-report/
"<div style=""background-color: #1e1ef6; color: #fff;display: inline; padding: 0.2em 0.6em 0.3em;font-size:75%;font-weight: 700;line-height: 1;text-align: center;white-space: nowrap;vertical-align: baseline;border-radius: 0.25em;font-family: muli,helvetica,Arial,sans-serif;margin: auto;"">pending</div>",02/09/2025,28/08/2025,2025-0440,Edwin Price,Ms Vanessa McKinlay,Somerset,Hospital Death (Clinical Procedures and medical management) related deaths,Somerset NHS Foundation Trust,1,0,https://www.judiciary.uk/prevention-of-future-death-reports/edwin-price-prevention-of-future-deaths-report/
"<div style=""background-color: #1e1ef6; color: #fff;display: inline; padding: 0.2em 0.6em 0.3em;font-size:75%;font-weight: 700;line-height: 1;text-align: center;white-space: nowrap;vertical-align: baseline;border-radius: 0.25em;font-family: muli,helvetica,Arial,sans-serif;margin: auto;"">pending</div>",03/09/2025,28/08/2025,2025-0441,Kore Padgett,Mrs Charlotte Keighley,Yorkshire West Western,Hospital Death (Clinical Procedures and medical management) related deaths,Calderdale and Huddersfield NHS Foundation Trust,1,0,https://www.judiciary.uk/prevention-of-future-death-reports/kore-padgett-prevention-of-future-deaths-report/
"<div style=""background-color: #1e1ef6; color: #fff;display: inline; padding: 0.2em 0.6em 0.3em;font-size:75%;font-weight: 700;line-height: 1;text-align: center;white-space: nowrap;vertical-align: baseline;border-radius: 0.25em;font-family: muli,helvetica,Arial,sans-serif;margin: auto;"">pending</div>",02/09/2025,26/08/2025,2025-0439,Anne Dyson,Mr David Place,Sunderland,Community health care and emergency services related deaths,South Tyneside and Sunderland NHS Foundation Trust,1,0,https://www.judiciary.uk/prevention-of-future-death-reports/anne-dyson-prevention-of-future-deaths-report/
"<div style=""background-color: #1e1ef6; color: #fff;display: inline; padding: 0.2em 0.6em 0.3em;font-size:75%;font-weight: 700;line-height: 1;text-align: center;white-space: nowrap;vertical-align: baseline;border-radius: 0.25em;font-family: muli,helvetica,Arial,sans-serif;margin: auto;"">pending</div>",05/09/2025,26/08/2025,2025-0444,Gabriella Jaiyesimi,Ms Mary Hassell,London Inner North,Other related deaths,The Chief Executive Tesco PLC | The Chief Executive Total Security Services Limited (TSS) | The Chief Executive Security Industry Authority (SIA),3,0,https://www.judiciary.uk/prevention-of-future-death-reports/gabriella-jaiyesimi-prevention-of-future-deaths-report/
"<div style=""background-color: #1e1ef6; color: #fff;display: inline; padding: 0.2em 0.6em 0.3em;font-size:75%;font-weight: 700;line-height: 1;text-align: center;white-space: nowrap;vertical-align: baseline;border-radius: 0.25em;font-family: muli,helvetica,Arial,sans-serif;margin: auto;"">pending</div>",01/09/2025,22/08/2025,2025-0438,Lee Stammers,Mrs SARAH LOUISE SLATER,Yorkshire South East,Hospital Death (Clinical Procedures and medical management) related deaths,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,1,0,https://www.judiciary.uk/prevention-of-future-death-reports/lee-stammers-prevention-of-future-deaths-report/
