sent_to,no. overdue responses,% overdue
Imperial College Healthcare NHS Trust,4,100.0
National Patient Safety Agency,4,100.0
Cambridgeshire and Peterborough NHS Foundation Trust,3,100.0
The Hillingdon Hospitals NHS Foundation Trust,3,100.0
Worcestershire County Council,3,100.0
Bristol City Council,2,100.0
Cheshire West and Chester Council,2,100.0
Choice Support,2,100.0
Cornwall and Isles of Scilly Safeguarding Adults Board,2,100.0
HM Prison Rye Hill,2,100.0
Hampshire and Isle of Wight Clinical Commissioning Group,2,100.0
Independent Advisory Panel on Deaths in Custody,2,100.0
Mid Cheshire Hospitals NHS Foundation Trust,2,100.0
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2,100.0
NHS Coventry and Warwickshire Integrated Care Board,2,100.0
NHS Gloucestershire Integrated Care Board,2,100.0
NHS Lothian Scotland,2,100.0
Oldham Clinical Commissioning Group,2,100.0
Pembrokeshire County Council,2,100.0
Tandridge District Council,2,100.0
AGCO Ltd,1,100.0
Abbey Court Independent Hospital,1,100.0
Abbotsbury Residential Care Home,1,100.0
Acorn Lodge Care Home,1,100.0
Adams Pharmacy,1,100.0
Adullam Homes Housing Association,1,100.0
"Advisory, Conciliation and Arbitration Service",1,100.0
Advocacy Together,1,100.0
Agrade Community Care Services,1,100.0
All-Party Parliamentary Carbon Monoxide Group,1,100.0
Alternative Futures Group,1,100.0
Amberley Hall Care Home,1,100.0
Amgen,1,100.0
Amphenol Thermometrics UK Ltd,1,100.0
Angel Solutions UK Limited,1,100.0
Anglian Community Enterprise,1,100.0
Appleton Lodge Care Home,1,100.0
Ashford Borough Council,1,100.0
Ashgate House Nursing Home,1,100.0
Association of Conservative Clubs,1,100.0
Association of Independent Gas Transporters,1,100.0
Athena Care Homes (UK) Limited,1,100.0
BARDOC,1,100.0
BUPA UK Provision,1,100.0
Bamford Grange Nursing Home,1,100.0
Banes Highways,1,100.0
Banes Park and Services,1,100.0
Baycroft Care Homes,1,100.0
Beamish Museum,1,100.0
Beatson Clark,1,100.0
Beechdale Medical Group,1,100.0
Beeston Health Centre,1,100.0
Bendpak Inc,1,100.0
Bilbrook Medical Centre,1,100.0
Blatchington Mill School,1,100.0
Bloomfield Medical Centre,1,100.0
Borough Council of King’s Lynn and West Norfolk,1,100.0
Bounce Till I Die Events,1,100.0
Bourne House,1,100.0
Brindaavan Care Home Limited,1,100.0
Brisdoc,1,100.0
British Industrial Truck Association,1,100.0
British Obesity and Metabolic Surgery Society,1,100.0
Bromleys Solicitors,1,100.0
Brunswick Retirement Village,1,100.0
Bryntirion Surgery,1,100.0
Buckinghamshire Healthcare NHS Trust,1,100.0
Bute House Surgery,1,100.0
CAT,1,100.0
CSS Telecare Service,1,100.0
CaMIS PAS,1,100.0
Cambridge University Hospitals NHS Foundation Trust,1,100.0
Care First Homes,1,100.0
Care4U Healthcare,1,100.0
Carewatch,1,100.0
Carlton House Rest Home,1,100.0
Carmarthenshire County Council,1,100.0
Carrington Doors,1,100.0
