sent_to,no. complete responses
Department of Health and Social Care,309
NHS England,195
HM Prison and Probation Service,53
NHS Greater Manchester Integrated Care Board,52
Care Quality Commission,49
Betsi Cadwaladr University Health Board,39
Department for Transport,35
National Institute for Health and Care Excellence,33
Home Office,33
Barts Health NHS Trust,30
University Hospitals Sussex NHS Foundation Trust,26
Metropolitan Police Service,26
Network Rail,26
Welsh Ambulance Services NHS Trust,24
National Highways,24
Pennine Care NHS Foundation Trust,21
Norfolk and Suffolk NHS Foundation Trust,21
Sussex Partnership NHS Foundation Trust,21
Birmingham and Solihull Mental Health NHS Foundation Trust,19
Ministry of Justice,18
University Hospitals Plymouth NHS Trust,18
Health and Safety Executive,18
Northern Care Alliance NHS Foundation Trust,17
Greater Manchester Mental Health NHS Foundation Trust,17
East London NHS Foundation Trust,17
Department for Education,16
"Ministry of Housing, Communities and Local Government",16
Medicines and Healthcare Products Regulatory Agency,16
Tameside and Glossop Integrated Care NHS Foundation Trust,15
Stockport NHS Foundation Trust,15
