sent_to,no. pending responses
Department of Health and Social Care,11
NHS England,11
Department for Transport,6
REDACTED,4
Care Quality Commission,3
Ministry of Justice,3
Devon Partnership NHS Trust,2
General Medical Council,2
HM Prison and Probation Service,2
Metropolitan Police Service,2
Mid and South Essex NHS Foundation Trust,2
National Highways,2
National Institute for Health and Care Excellence,2
North London NHS Foundation Trust,2
Royal Free London NHS Foundation Trust,2
Surrey and Sussex Healthcare NHS Trust,2
Welsh Government,2
Worcestershire Acute Hospitals NHS Trust,2
Affinity Water,1
Arts University Bournemouth,1
Association for Petroleum and Explosives Administration,1
Association of Anaesthetists,1
BARDOC,1
Berkshire Healthcare NHS Foundation Trust,1
Betsi Cadwaladr University Health Board,1
Birmingham Women's and Children's NHS Foundation Trust,1
Blackpool Teaching Hospitals NHS Foundation Trust,1
British Association for Counselling and Psychotherapy,1
British Society for Haematology (BSH),1
Cheshire Constabulary,1
