sent_to,count
Department of Health and Social Care,128
NHS England,105
REDACTED,31
Department for Transport,31
Home Office,22
HM Prison and Probation Service,20
Ministry of Justice,18
Care Quality Commission,16
National Institute for Health and Care Excellence,16
Medicines and Healthcare Products Regulatory Agency,13
College of Policing,12
National Highways,12
Health and Safety Executive,10
"Ministry of Housing, Communities and Local Government",8
Mid and South Essex NHS Foundation Trust,8
"Department for Culture, Media and Sport",8
East Midlands Ambulance Service NHS Trust,8
University Hospitals Birmingham NHS Foundation Trust,8
Office for Product Safety and Standards,7
NHS Greater Manchester Integrated Care Board,7
Department for Education,7
Betsi Cadwaladr University Health Board,7
Royal College of Paediatrics and Child Health,6
Barts Health NHS Trust,6
Sussex Partnership NHS Foundation Trust,6
Royal College of Obstetricians and Gynaecologists,6
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,6
Royal College of Emergency Medicine,6
Essex Partnership University NHS Foundation Trust,5
National Police Chiefs’ Council,5
Milton Keynes University Hospital NHS Foundation Trust,5
Aneurin Bevan University Health Board,5
Department for Work and Pensions,5
Practice Plus Group,5
Welsh Government,5
Royal Cornwall Hospitals NHS Trust,5
Royal Free London NHS Foundation Trust,5
Metropolitan Police Service,5
Stockport NHS Foundation Trust,4
North London NHS Foundation Trust,4
Northamptonshire Healthcare Foundation Trust,4
Oxford Health NHS Foundation Trust,4
Berkshire Healthcare NHS Foundation Trust,4
Oxleas NHS Foundation Trust,4
Royal College of General Practitioners,4
Royal College of Psychiatrists,4
South Central Ambulance Service NHS Foundation Trust,4
University Hospitals of North Midlands NHS Trust,4
Transport for London,4
National Fire Chiefs Council,4
East Suffolk and North Essex NHS Foundation Trust,4
Driver and Vehicle Standards Agency,4
Driver and Vehicle Licensing Agency,4
Greater Manchester Police,4
Worcestershire Acute Hospitals NHS Trust,4
West Yorkshire Police,3
Shrewsbury and Telford Hospital NHS Trust,3
West Suffolk NHS Foundation Trust,3
National Medical Examiner,3
Kent and Medway NHS and Social Care Partnership Trust,3
East Kent Hospitals University NHS Foundation Trust,3
East London NHS Foundation Trust,3
Care UK,3
St George’s University Hospitals NHS Foundation Trust,3
South Yorkshire Police,3
University Hospitals Plymouth NHS Trust,3
University Hospitals Sussex NHS Foundation Trust,3
Essex County Council,3
Department for Business and Trade,3
"Department for Science, Innovation and Technology",3
Devon Partnership NHS Trust,3
Devon and Cornwall Police,3
Tameside and Glossop Integrated Care NHS Foundation Trust,3
Blackpool Teaching Hospitals NHS Foundation Trust,3
Swansea Bay University Health Board,3
Surrey and Sussex Healthcare NHS Trust,3
Northumbria Healthcare NHS Foundation Trust,3
Cwm Taf Morgannwg University Health Board,3
Cornwall Partnership NHS Foundation Trust,3
Cornwall Council,3
Lincolnshire Police,3
Harbour Healthcare Ltd,3
NHS Birmingham and Solihull Integrated Care Board,3
Hampshire and Isle of Wight Healthcare NHS Foundation Trust,3
General Medical Council,3
Royal College of Radiologists,3
Hull University Teaching Hospitals NHS Trust,3
NHS Derby and Derbyshire Integrated Care Board,3
Royal College of Physicians,3
South London and Maudsley NHS Foundation Trust,3
