name,title,role
Mr Andrew Philip Hetherington,Senior Coroner,Northumberland
HHJ Edward Thomas Henry Teague QC,The Chief Coroner of England and Wales,Honorary Member
Wayne Solomon,Senior Coroner,Corresponding Member
Mrs Jacqueline F Lake,Senior Coroner,Norfolk
Miss Georgina Nolan,Senior Coroner,Newcastle and North Tyneside
Mrs Rachael Clare Griffin,Senior Coroner,Dorset
Mrs Maria Eileen Voisin,Senior Coroner,Avon
Cherry McMillen,Senior Coroner,Corresponding Member
Mr HG Mark Bricknell,Senior Coroner,Herefordshire
Dirk Huyer MD,Senior Coroner,Corresponding Member
Mr Christopher Campbell Wilkinson,Senior Coroner,"Hampshire, Portsmouth and Southampton"
Deborah Malcolm,Senior Coroner,Corresponding Member
CHRISTOPHER MARTIN,Senior Coroner,Corresponding Member
Alastair John Trevaskis,Senior Coroner,Corresponding Member
Mrs Anne-Louise Toal,Senior Coroner,Corresponding Member
Ms Caroline Saunders,Senior Coroner,Gwent
Mr graeme Irvine,Senior Coroner,London East
Cdr. Richard Marshall RN,Senior Coroner,Corresponding Member
Ms Kally Cheema,Senior Coroner,Cumbria
Mr Crispin Giles Butler,Senior Coroner,Buckinghamshire
Brian G Sherrard,Senior Coroner,Corresponding Member
R .David Crawford Clarke,Senior Coroner,Retired Member
Mrs Louise Hunt,Senior Coroner,Birmingham and Solihull
Mr David Heming,Senior Coroner,Cambridgeshire and Peterborough
Mr Philip Spinney,Senior Coroner,Exeter and Greater Devon
Mr Peter Nieto,Senior Coroner,Derby and Derbyshire
Mr John Anthony Needham,Senior Coroner,Corresponding Member
Mr Geoffrey Sullivan,Senior Coroner,Hertfordshire
Ms Mary Hassell,Senior Coroner,London Inner North
Mr Terence Carney,Senior Coroner,Gateshead and South Tyneside
Mr Andrew Harris,Senior Coroner,London Inner South
Mrs Samantha Marsh,Senior Coroner,Somerset
Ms Jacqueline P Devonish,Senior Coroner,Cheshire
Justice John Angus MacRitchie,Senior Coroner,Corresponding Member
Dr Fiona Jane Wilcox,Senior Coroner,London Inner West
Dr Michael Kennedy,Senior Coroner,Corresponding Member
Mrs lydia brown,Senior Coroner,London West
Mr Paul Vernon Marks,Senior Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Mr John Penhale Ellery,Senior Coroner,"Shropshire, Telford and Wrekin"
Mr Derek Winter DL,Deputy Chief Coroner,Sunderland
Mr Peter Brunton,Senior Coroner,Ceredigion
Peter Ryan,Senior Coroner,Corresponding Member
Mr Graeme David Hughes,Senior Coroner,South Wales Central
Soerdjbalie-Maikoe,Senior Coroner,Corresponding Member
Ms Joanne Kearsley,Senior Coroner,Greater Manchester North
Clare Faulds,Senior Coroner,Corresponding Member
Mr Richard Travers,Senior Coroner,Surrey
Mr Alan Wilson,Senior Coroner,Blackpool and Fylde
Mr S. McGovern,Senior Coroner,Warwickshire
Mr Malcolm Simmons,Senior Coroner,Corresponding Member
Ms Megan Pullum,Senior Coroner,Corresponding Member
Mr Nigel Meadows,Senior Coroner,Manchester City
Ms Patricia Harding,Senior Coroner,Kent Mid and Medway
Miss Clare Bailey,Senior Coroner,Teesside
The Hon. Mr. Justice Colton,Senior Coroner,Corresponding Member
Garry Leslie Evans,Senior Coroner,Corresponding Member
Dr Brian J Farrell,Senior Coroner,Corresponding Member
Mr Martin Dominic Fleming,Senior Coroner,Yorkshire West Western
Ms Katy Skerrett,Senior Coroner,Gloucestershire
Ms Kate Robertson,Senior Coroner,North West Wales
Helen Margaret Scott,Senior Coroner,Corresponding Member
Mr Timothy William Brennand,Senior Coroner,Greater Manchester West
Ms Jayne Hughes,Senior Coroner,Corresponding Member
Mrs Catherine Mason,Senior Coroner,Leicester City and South Leicestershire
Dr Elizabeth A Earland,Senior Coroner,Retired Member
Mr Roger Linton Hatch,Senior Coroner,Kent North West
Mr Nigel Parsley,Senior Coroner,Suffolk
Miss Mairin Casey,Senior Coroner,Nottinghamshire
Mrs Heidi Julia Connor,Senior Coroner,Berkshire
Dr Dirk W Huyer,Senior Coroner,Corresponding Member
Raymond NAQVI,Senior Coroner,Corresponding Member
Mr Alan R Craze,Senior Coroner,East Sussex
Mr David Donald William REID,Senior Coroner,Worcestershire
Ciaran MacLoughlin,Senior Coroner,Corresponding Member
Mr Lincoln Brookes,Senior Coroner,Essex
Justice Lateefa Abisola OKUNNU,Senior Coroner,Corresponding Member
Mr Darren Michael Salter,Senior Coroner,Oxfordshire
Mr David William Graham RIDLEY,Senior Coroner,Wiltshire and Swindon
Miss Sarah Ormond-Walshe,Senior Coroner,London South
Graeme Douglas Johnstone,Senior Coroner,Honorary Member
Mrs Anne Pember,Senior Coroner,Northamptonshire
Mr Jonathan Richard Heath,Senior Coroner,North Yorkshire and York
Mr Andrew Walker,Senior Coroner,London North
Mr John Gittins,Senior Coroner,North Wales (East & Central)
Greffier Sarah Kelly,Senior Coroner,Corresponding Member
"Matthew J Bowes, MD, FRCPC",Senior Coroner,Corresponding Member
Mr Andrew Cox,Senior Coroner,Cornwall and the Isles of Scilly
Dr Prof. Denis A. Cusack,Senior Coroner,Corresponding Member
Ms Alison Brydie Hewitt,Senior Coroner,London City
Mrs Caroline Sarah Sumeray,Senior Coroner,Isle of Wight
Miss Maria Dougan,Senior Coroner,Corresponding Member
Isaac Tan,Senior Coroner,Corresponding Member
Dr Mary Flanagan,Senior Coroner,Corresponding Member
Mr Tom Osborne,Senior Coroner,Milton Keynes
Judge Jennifer Coate,Senior Coroner,Corresponding Member
Ms Alison Patricia Mutch OBE,Senior Coroner,Greater Manchester South
Mr Andrew Roger Barkley,Senior Coroner,Staffordshire and Stoke-on-Trent
Mr Patrick McGurgan,Senior Coroner,Corresponding Member
The Honourable Mr Justice Weir,Senior Coroner,Corresponding Member
Dr Myra Cullinane,Senior Coroner,Corresponding Member
Joanne Donnelly,Senior Coroner,Corresponding Member
Mr Paul Duncan Smith,Senior Coroner,Lincolnshire
Dr Andrina O'Brien,Senior Coroner,Corresponding Member
Mr Mark Harris,Senior Coroner,Corresponding Member
Mr joseph mccrisken,Senior Coroner,Corresponding Member
Mr Zafar Siddique,Senior Coroner,The Black Country Jurisdiction
Mr Alan Moore,Senior Coroner,Retired Member
Ms Nicola Jane Mundy,Senior Coroner,Yorkshire South East
Peter A N de Gruchy,Senior Coroner,Corresponding Member
Mary Jerram,Senior Coroner,Corresponding Member
James Peter Kitson,Senior Coroner,Corresponding Member
Ms Julie Alison Goulding,Senior Coroner,"Sefton, Knowsley and St Helens"
Mr André Rebello OBE,Senior Coroner,Liverpool and the Wirral
Mr Jeremy Chipperfield,Senior Coroner,County Durham and Darlington
Judge Victor YEO Khee Eng,Senior Coroner,Corresponding Member
Ms Penelope Schofield,Senior Coroner,"West Sussex, Brighton and Hove"
Mr Tony Williams,Senior Coroner,Retired Member
Miss Alexia Durran,Deputy Chief Coroner,Honorary Member
Mrs Emma Elizabeth Whitting,Senior Coroner,Bedfordshire and Luton
Gordon Matenga,Senior Coroner,Corresponding Member
Mrs Tanyka Samantha Rawden,Senior Coroner,Yorkshire South West
Mrs. Linda P. Virgill (PHD),Senior Coroner,Corresponding Member
Mr Kevin McLoughlin,Senior Coroner,Yorkshire West Eastern
Judge Neil MacLean - Chief Coroner New Zealand,Senior Coroner,Honorary Member
Dr James Adeley,Senior Coroner,Lancashire and Blackburn with Darwen
Mr Colin Phillips,Acting Coroner,Swansea and Neath Port Talbot
Mr Mr P J Bennett,Acting Coroner,Carmarthenshire and Pembrokeshire
Mr Delroy Henry,Area Coroner,Coventry
Mr Jacques Howell,Area Coroner,Hertfordshire
Dr Peter Harrowing,Area Coroner,Avon
Mr Nicholas Andrew Aldridge,Area Coroner,Corresponding Member
Mr Chris Morris,Area Coroner,Greater Manchester South
Dr clare Keane,Area Coroner,Corresponding Member
Mr Jason Pegg,Area Coroner,"Hampshire, Portsmouth and Southampton"
Miss Laurinda Bower,Area Coroner,Nottinghamshire
Mr Sean Kevan Horstead,Area Coroner,Essex
Mr Daniel Howe,Area Coroner,Staffordshire
Ms Jan Alam,Area Coroner,Yorkshire West Eastern
Ms Suzanne Anderson,Area Coroner,Corresponding Member
Ms Nadia Persaud,Area Coroner,London East
Mrs Victoria Davies,Area Coroner,Cheshire
Ms Catherine McKenna,Area Coroner,Greater Manchester North
Miss Bina Patel,Area Coroner,Kent Mid and Medway
Rosemary Jane Baxter,Area Coroner,Retired Member
Miss Sarah Clarke,Area Coroner,Kent North East
Mr Darren Stewart OBE,Area Coroner,Suffolk
Miss Emma Brown,Area Coroner,Birmingham and Solihull
